,0
0,"Couldn't decide on a place originally and somehow just picked this place as I was still wanting sushi in the area. Came here and looked at the menu - it was rather extensive, which I enjoyed. They even offered my sake toro (salmon belly). Naturally, I ordered some. As well as regular sake (salmon). I also got the Katana Combo sampler as I was really hungry. I also ended up ordering the salmon torched roll because if you haven't guessed, I love salmon so much plus avocado. They did offer cocktails and a wine menu, but I was not feeling it in me to drink that night, so water it is.Our waitress was very nice and explained the menu items we ordered off the menu and service was quick. The food came out relatively quickly and I finished the entire sampler platter, as well as all the other dishes I ordered. The plum sauce that came with the sampler platter was sweet with the right amount of kick. It was great with the crispy dumplings and calamari. When my sake toro came out, it was so buttery soft and fatty, it was probably my favorite dish of the night. The specialty roll, salmon torched roll, was actually pretty good as well. The marriage of the salmon and the avocado just worked well, and it wasn't just regular salmon. It was salmon belly on top. Which made it delightfully better in my opinion. Overall I had a wonderfully surprising experience here. I wasn't expecting the restaurant to serve sake toro. There's only one sushi place that I know of back in Houston that serves it when you ask for it, but otherwise, it's not common for me to see it on smack dab on the menu. I was glad that I ended up coming here and got my salmon belly fix. I highly recommend this place. Service was great, ambience was nice, and the food was really good!"
1,"I just noticed Little Katana recently as I was driving through the area and I'm very happy I decided to try it out. I'm not a sushi eater so I can't speak to that, though I've heard good things, but their Sizzlin' Dumpling appetizer was awesome! As a non-fish eater, I had the bulgogi and it was good. I wish it came with some sides but it was good nonetheless. My bf had the bento full of sashimi and he seemed to really enjoy it. We both agreed we'd love to come back in the future!Pricing seemed about right - maybe a tiny bit pricey for certain items but pretty good! The staff was friendly and by 6:30/7PM the place really filled up."
2,Let me start with -- wow. This is amazing. The quality of the fish was wonderful. Every roll had a great texture with the combination of what they put in there and the taste. For example the paradise roll is so great. I love how buttery the salmon is and then paired with an mango for that sweetness and avocado for they creamy feeling. I just have to say this may be my new fave sushi place.
3,"Best sushi in town and service was so amazing. Special thanks to my hostess, she made us feel so comfortable and recommended the traditional sake and sushis. Katana 101 roll, sashimi sampler and spicy edamame- donot miss them. We ordered Ahi tuna tower, sashimi sampler, traditional  hot sake, katana 101 roll, spicy edamame and Tonkutsa ramen. Ramen was okayish but the sushis were to die for, dine in experience is excellent."
4,"Really impressed by the quality of the sushi here. We go out for sushi quite a bit and it's hard finding amazing sushi at a reasonable price. This place nails it. Even on a Sunday night, the place was packed. We saw that they have some awesome weekday lunch specials. Will be back for those and more"
5,This was $18. This is a joke. Tasted fishy and not fresh. A total rip off. Horrible value.
6,"I think it's about time that I do a review for my favourite neighbourhood restaurant. Been here many, many times and it never disappoints. I do have my signature dishes after trying a few so I'll try to cover everything I've had here.Been here before and during Covid and they are managing it very well. Masks on entry, temperature check, hand sanitizer and social distancing. So again the below list was ordered over several visits - not all at once!Avocado Egg Roll ($8) - Delicious starter and fried treat. Love the sweet chili sauce too.Shrimp & Veggie Tempura ($10) - 3 pieces of shrimp and 4 pieces of veggies. Decent tempura but not really a fan of the sauce.Spicy Pork ($18) - I always ask for extra spicy and it is pretty good. Large quantity and tasty spicy sauce.Orange Ginger Salmon ($22) - The hubs fave. Very healthy option and the Wasabi Mashed Potatoes and Sauteed Mushrooms are super delish. The orange ginger glaze is pretty yum too.Sashimi Appetizer ($12) - I love sashimi so always get this if we're dining in.LA Kalbi ($22) - This is my favourite. I always ask to make it spicy so they usually put chili flakes on it and extra of their special soy sauce.Philadelphia Roll ($7) - Usual to go order and it's very good.Spicy Chicken ($18) - Delicious Korean Spicy Chicken. Extra spicy of course and good quantity. You can pick two sides and always go with wasabi mashed potatoes and either sauteed mushrooms or grilled asparagus.Salmon Teriyaki Bento ($13) - Comes with Miso Soup, House Salad, 2 pieces of Shrimp and 2 pieces of Veg Tempura, 4 pieces of California roll and Wasabi Mashed Potatoes - The salmon was done well. Some places they make it too dry but this was just right. Extra teriyaki sauce too.Sizzling Dumplings ($10) - Crispy and yum, the sauce is great too.Ginger Vanilla Creme Brulee ($5) - This was delicious, usually don't have room for dessert but the one time I did tried this and it was really good.Drinks - Hot sake everytime.Quantity - Good quantity and very filling.Ambience - It's casual but nice and they are doing social distancing and maintaining everything really well.Service - Excellent - everytime it has been good. Servers are all really lovely and helpful - have never had a bad experience here.Spice - 2/5, Yea it's not spicy, but it is very flavourful.Taste - Really great, especially since over time I have found my go-tos and they never disappoint.Really lovely neighbourhood joint, casual feel and awesome service. My fave dishes are the Sashimi, LA Kalbi, Spicy Chicken, Orange Ginger Salmon, Philly Roll and Yakisoba Noodles. They have a good happy hour from 5-6.30PM Mon-Fri. Happy to support this awesome place :)"
7,"We didn't know this place was here, but so glad we found it! Food was really good and testy. I totally recommend this place!"
8,"I was there last weekend I order the avocado egg rolls , fried dumplings, tempura noodles soup, the temperatura and the egg rolls were horrible they weren't crispy at all. I been to the one in uptown and everything there is fantastic,The service was great, the sushi was great they need more work in the fried items"
9,"I cannot believe I haven't taken advantage of Little Katana's lunch specials before! They have select specialty rolls you can choose two from for $10, and they are decent-size pieces and very flavorful and fresh. I noticed they have lunch-portion ramen and noodles as well! I called in my order of the spicy California and shrimp tempura around 11:15 and picked it up at 11:30. The restaurant was very clean and they have plexiglass up at the cash register. Looking at their dinner menu left me drooling, next time I come back I want to try their dinner or Korean entrees like kalbi or hot stone bowls. Many people have told me they've frequented this location for date nights, so it's next on my list!"
